"","age.x","politic_aff.x","rel_gender","prolific_id","per_sim1","per_sim2","persistence_time1","persistence_time2","persist_time_diff","KH_gender.x","KH_race.x"
"168",29,1,0,"66ce40b128e557960b95fa9d",4,4,544.824,706.743,161.919,"none","none"
"169",31,5,1,"6319fe94b95ac2abc796fbe7",2,2,275.669,546.824,271.155,"woman","multiracial"
"170",24,3,1,"63ebaa1bd6a7be6e03b404a0",3,3,1494.448,730.712,-763.736,"woman","multiracial"
"171",51,1,1,"63ec220d5066a8a99aa01aa0",6,6,641.355,95.539,-545.816,"woman","multiracial"
"172",35,1,0,"670869f2f0363c81b03a898a",7,5,62.335,99.146,36.811,"none","multiracial"
"173",59,1,0,"65429041aa9bde9216c53dc2",5,5,1029.111,350.489,-678.622,"none","multiracial"
"174",31,1,0,"666c1e8e6a09bd990bb6c5e6",4,5,366.674,165.016,-201.658,"woman","none"
"175",28,1,0,"6501f77e5bcc4d818d0021c9",3,3,900.03,1993.286,1093.256,"woman","black"
"176",31,1,0,"668aa757440ee7f82a05b88e",5,5,387.184,316.402,-70.782,"none","black"
"177",25,3,1,"5e4e844553bc702cdf68404d",4,4,703.579,441.653,-261.926,"woman","black"
"178",31,1,1,"65c110cf2ace1dacd58ce071",1,1,125.785,101.94,-23.845,"none","none"
"179",22,2,1,"669ed868dcdb63e0d6d82ab1",4,5,84.6,18.3,-66.3,"none","multiracial"
"180",32,3,0,"615e1782e969d4939045c54f",1,1,200.967,99.474,-101.493,"none","multiracial"
"181",31,2,0,"66ff23b19b9e211878a17f7c",3,4,193.449,428.137,234.688,"none","multiracial"
"182",39,1,1,"5ca749ff98b35f0001f7559d",1,1,447.479,448.861,1.382,"woman","multiracial"
"183",40,3,1,"65ccf08fe5f1942a8a89f3cc",4,2,860.614,2421.526,1560.912,"none","none"
"184",45,2,1,"670a165e0ef22b0779d470dd",2,2,776.048,473.991,-302.057,"none","none"
"185",46,1,1,"66f578343a3ef5afed111fb9",7,7,16.401,22.634,6.233,"woman","multiracial"
"186",24,3,1,"660acedaa9ec8f85a2d6c937",3,2,589.805,123.424,-466.381,"woman","none"
"187",28,2,1,"66ed27db159488e11b1a6bae",2,3,47.107,732.666,685.559,"none","black"
"188",54,1,1,"66297ea73fb3ea0e81e88823",5,2,364.911,197.188,-167.723,"woman","multiracial"
"189",29,2,1,"6692bb9ec57d7fb5c45d8ed4",4,4,204.21,58.514,-145.696,"woman","black"
